编号,名称,描述,法力,力道,身法,元气,生命,物攻,魔攻,物防,魔防,霸道,会心,卸力,化解,力道%,身法%,元气%
21409008,力士90级鞋第8级强化属性,,0,0,0,0,2912,0,0,0,0,0,0,0,0,0,0,0
21409009,力士90级鞋第9级强化属性,,0,0,0,0,3276,0,0,0,0,0,0,0,0,0,0,0
21409010,力士90级鞋第10级强化属性,,0,0,0,0,3640,0,0,0,0,0,0,0,0,0,0,0
21409011,力士90级鞋第11级强化属性,,0,0,0,0,4004,0,0,0,0,0,0,0,0,0,0,0
21409012,力士90级鞋第12级强化属性,,0,0,0,0,4368,0,0,0,0,0,0,0,0,0,0,0
21409013,力士90级鞋第13级强化属性,,0,0,0,0,4732,0,0,0,0,0,0,0,0,0,0,0
21410001,力士100级鞋第1级强化属性,,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0
21410002,力士100级鞋第2级强化属性,,0,0,0,0,829,0,0,0,0,0,0,0,0,0,0,0
21410003,力士100级鞋第3级强化属性,,0,0,0,0,1244,0,0,0,0,0,0,0,0,0,0,0
21410004,力士100级鞋第4级强化属性,,0,0,0,0,1659,0,0,0,0,0,0,0,0,0,0,0
21410005,力士100级鞋第5级强化属性,,0,0,0,0,2074,0,0,0,0,0,0,0,0,0,0,0
21410006,力士100级鞋第6级强化属性,,0,0,0,0,2489,0,0,0,0,0,0,0,0,0,0,0
21410007,力士100级鞋第7级强化属性,,0,0,0,0,2904,0,0,0,0,0,0,0,0,0,0,0
21410008,力士100级鞋第8级强化属性,,0,0,0,0,3319,0,0,0,0,0,0,0,0,0,0,0
21410009,力士100级鞋第9级强化属性,,0,0,0,0,3734,0,0,0,0,0,0,0,0,0,0,0
21410010,力士100级鞋第10级强化属性,,0,0,0,0,4149,0,0,0,0,0,0,0,0,0,0,0
21410011,力士100级鞋第11级强化属性,,0,0,0,0,4564,0,0,0,0,0,0,0,0,0,0,0
21410012,力士100级鞋第12级强化属性,,0,0,0,0,4979,0,0,0,0,0,0,0,0,0,0,0
21410013,力士100级鞋第13级强化属性,,0,0,0,0,5394,0,0,0,0,0,0,0,0,0,0,0
21410014,力士100级鞋第14级强化属性,,0,0,0,0,5809,0,0,0,0,0,0,0,0,0,0,0
21501001,力士10级腰带第1级强化属性,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
21501002,力士10级腰带第2级强化属性,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
21501003,力士10级腰带第3级强化属性,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
21501004,力士10级腰带第4级强化属性,,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
21501005,力士10级腰带第5级强化属性,,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
21502001,力士20级腰带第1级强化属性,,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
21502002,力士20级腰带第2级强化属性,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
21502003,力士20级腰带第3级强化属性,,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
21502004,力士20级腰带第4级强化属性,,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
21502005,力士20级腰带第5级强化属性,,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
21502006,力士20级腰带第6级强化属性,,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
21503001,力士30级腰带第1级强化属性,,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
21503002,力士30级腰带第2级强化属性,,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
21503003,力士30级腰带第3级强化属性,,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
21503004,力士30级腰带第4级强化属性,,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
21503005,力士30级腰带第5级强化属性,,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
21503006,力士30级腰带第6级强化属性,,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0
21503007,力士30级腰带第7级强化属性,,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
21504001,力士40级腰带第1级强化属性,,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
21504002,力士40级腰带第2级强化属性,,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
21504003,力士40级腰带第3级强化属性,,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
21504004,力士40级腰带第4级强化属性,,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
21504005,力士40级腰带第5级强化属性,,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0
21504006,力士40级腰带第6级强化属性,,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
21504007,力士40级腰带第7级强化属性,,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
21504008,力士40级腰带第8级强化属性,,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
21505001,力士50级腰带第1级强化属性,,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
21505002,力士50级腰带第2级强化属性,,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
21505003,力士50级腰带第3级强化属性,,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
21505004,力士50级腰带第4级强化属性,,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
21505005,力士50级腰带第5级强化属性,,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
21505006,力士50级腰带第6级强化属性,,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
21505007,力士50级腰带第7级强化属性,,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0
21505008,力士50级腰带第8级强化属性,,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0
21505009,力士50级腰带第9级强化属性,,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0
21506001,力士60级腰带第1级强化属性,,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
21506002,力士60级腰带第2级强化属性,,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
21506003,力士60级腰带第3级强化属性,,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0
21506004,力士60级腰带第4级强化属性,,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0
21506005,力士60级腰带第5级强化属性,,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0
21506006,力士60级腰带第6级强化属性,,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0
21506007,力士60级腰带第7级强化属性,,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0
21506008,力士60级腰带第8级强化属性,,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0
21506009,力士60级腰带第9级强化属性,,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0
21506010,力士60级腰带第10级强化属性,,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0
21507001,力士70级腰带第1级强化属性,,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
21507002,力士70级腰带第2级强化属性,,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0
21507003,力士70级腰带第3级强化属性,,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0
21507004,力士70级腰带第4级强化属性,,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0
21507005,力士70级腰带第5级强化属性,,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0
21507006,力士70级腰带第6级强化属性,,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0
21507007,力士70级腰带第7级强化属性,,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0
21507008,力士70级腰带第8级强化属性,,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0
21507009,力士70级腰带第9级强化属性,,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0
21507010,力士70级腰带第10级强化属性,,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0
21507011,力士70级腰带第11级强化属性,,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0
21508001,力士80级腰带第1级强化属性,,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
21508002,力士80级腰带第2级强化属性,,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
21508003,力士80级腰带第3级强化属性,,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0
21508004,力士80级腰带第4级强化属性,,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0
21508005,力士80级腰带第5级强化属性,,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0
21508006,力士80级腰带第6级强化属性,,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0
21508007,力士80级腰带第7级强化属性,,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0
21508008,力士80级腰带第8级强化属性,,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0
21508009,力士80级腰带第9级强化属性,,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0
21508010,力士80级腰带第10级强化属性,,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0
21508011,力士80级腰带第11级强化属性,,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0
21508012,力士80级腰带第12级强化属性,,0,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0
21509001,力士90级腰带第1级强化属性,,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
21509002,力士90级腰带第2级强化属性,,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
21509003,力士90级腰带第3级强化属性,,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0
21509004,力士90级腰带第4级强化属性,,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0
21509005,力士90级腰带第5级强化属性,,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0
21509006,力士90级腰带第6级强化属性,,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0
21509007,力士90级腰带第7级强化属性,,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0
21509008,力士90级腰带第8级强化属性,,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0
21509009,力士90级腰带第9级强化属性,,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0
21509010,力士90级腰带第10级强化属性,,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0
21509011,力士90级腰带第11级强化属性,,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0
21509012,力士90级腰带第12级强化属性,,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0
21509013,力士90级腰带第13级强化属性,,0,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0
21510001,力士100级腰带第1级强化属性,,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
21510002,力士100级腰带第2级强化属性,,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
21510003,力士100级腰带第3级强化属性,,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0
21510004,力士100级腰带第4级强化属性,,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0
21510005,力士100级腰带第5级强化属性,,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0
21510006,力士100级腰带第6级强化属性,,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0
21510007,力士100级腰带第7级强化属性,,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0
21510008,力士100级腰带第8级强化属性,,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0
21510009,力士100级腰带第9级强化属性,,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0
21510010,力士100级腰带第10级强化属性,,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0
21510011,力士100级腰带第11级强化属性,,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0
21510012,力士100级腰带第12级强化属性,,0,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0
21510013,力士100级腰带第13级强化属性,,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0
21510014,力士100级腰带第14级强化属性,,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0
21601001,力士10级裤子第1级强化属性,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
21601002,力士10级裤子第2级强化属性,,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
21601003,力士10级裤子第3级强化属性,,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0
21601004,力士10级裤子第4级强化属性,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
21601005,力士10级裤子第5级强化属性,,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0
21602001,力士20级裤子第1级强化属性,,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
21602002,力士20级裤子第2级强化属性,,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0
21602003,力士20级裤子第3级强化属性,,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0
21602004,力士20级裤子第4级强化属性,,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
21602005,力士20级裤子第5级强化属性,,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0
21602006,力士20级裤子第6级强化属性,,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0
21603001,力士30级裤子第1级强化属性,,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0
21603002,力士30级裤子第2级强化属性,,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0
21603003,力士30级裤子第3级强化属性,,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0
21603004,力士30级裤子第4级强化属性,,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0
21603005,力士30级裤子第5级强化属性,,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0
21603006,力士30级裤子第6级强化属性,,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0
21603007,力士30级裤子第7级强化属性,,0,0,0,0,773,0,0,0,0,0,0,0,0,0,0,0
21604001,力士40级裤子第1级强化属性,,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0
21604002,力士40级裤子第2级强化属性,,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
21604003,力士40级裤子第3级强化属性,,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0
21604004,力士40级裤子第4级强化属性,,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0
21604005,力士40级裤子第5级强化属性,,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0
21604006,力士40级裤子第6级强化属性,,0,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0
21604007,力士40级裤子第7级强化属性,,0,0,0,0,1148,0,0,0,0,0,0,0,0,0,0,0
21604008,力士40级裤子第8级强化属性,,0,0,0,0,1313,0,0,0,0,0,0,0,0,0,0,0
21605001,力士50级裤子第1级强化属性,,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0
21605002,力士50级裤子第2级强化属性,,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0
21605003,力士50级裤子第3级强化属性,,0,0,0,0,665,0,0,0,0,0,0,0,0,0,0,0
21605004,力士50级裤子第4级强化属性,,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0
21605005,力士50级裤子第5级强化属性,,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0
21605006,力士50级裤子第6级强化属性,,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0
21605007,力士50级裤子第7级强化属性,,0,0,0,0,1551,0,0,0,0,0,0,0,0,0,0,0
21605008,力士50级裤子第8级强化属性,,0,0,0,0,1773,0,0,0,0,0,0,0,0,0,0,0
21605009,力士50级裤子第9级强化属性,,0,0,0,0,1995,0,0,0,0,0,0,0,0,0,0,0
21606001,力士60级裤子第1级强化属性,,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0
21606002,力士60级裤子第2级强化属性,,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0
21606003,力士60级裤子第3级强化属性,,0,0,0,0,847,0,0,0,0,0,0,0,0,0,0,0
21606004,力士60级裤子第4级强化属性,,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0
21606005,力士60级裤子第5级强化属性,,0,0,0,0,1412,0,0,0,0,0,0,0,0,0,0,0
21606006,力士60级裤子第6级强化属性,,0,0,0,0,1695,0,0,0,0,0,0,0,0,0,0,0
21606007,力士60级裤子第7级强化属性,,0,0,0,0,1977,0,0,0,0,0,0,0,0,0,0,0
21606008,力士60级裤子第8级强化属性,,0,0,0,0,2260,0,0,0,0,0,0,0,0,0,0,0
21606009,力士60级裤子第9级强化属性,,0,0,0,0,2542,0,0,0,0,0,0,0,0,0,0,0
21606010,力士60级裤子第10级强化属性,,0,0,0,0,2825,0,0,0,0,0,0,0,0,0,0,0
21607001,力士70级裤子第1级强化属性,,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0
21607002,力士70级裤子第2级强化属性,,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0
21607003,力士70级裤子第3级强化属性,,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0
21607004,力士70级裤子第4级强化属性,,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0
21607005,力士70级裤子第5级强化属性,,0,0,0,0,1725,0,0,0,0,0,0,0,0,0,0,0
21607006,力士70级裤子第6级强化属性,,0,0,0,0,2071,0,0,0,0,0,0,0,0,0,0,0
21607007,力士70级裤子第7级强化属性,,0,0,0,0,2416,0,0,0,0,0,0,0,0,0,0,0
21607008,力士70级裤子第8级强化属性,,0,0,0,0,2761,0,0,0,0,0,0,0,0,0,0,0
21607009,力士70级裤子第9级强化属性,,0,0,0,0,3106,0,0,0,0,0,0,0,0,0,0,0
21607010,力士70级裤子第10级强化属性,,0,0,0,0,3451,0,0,0,0,0,0,0,0,0,0,0
21607011,力士70级裤子第11级强化属性,,0,0,0,0,3797,0,0,0,0,0,0,0,0,0,0,0
21608001,力士80级裤子第1级强化属性,,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0
21608002,力士80级裤子第2级强化属性,,0,0,0,0,818,0,0,0,0,0,0,0,0,0,0,0
21608003,力士80级裤子第3级强化属性,,0,0,0,0,1227,0,0,0,0,0,0,0,0,0,0,0
21608004,力士80级裤子第4级强化属性,,0,0,0,0,1637,0,0,0,0,0,0,0,0,0,0,0
21608005,力士80级裤子第5级强化属性,,0,0,0,0,2046,0,0,0,0,0,0,0,0,0,0,0
21608006,力士80级裤子第6级强化属性,,0,0,0,0,2455,0,0,0,0,0,0,0,0,0,0,0
21608007,力士80级裤子第7级强化属性,,0,0,0,0,2864,0,0,0,0,0,0,0,0,0,0,0
21608008,力士80级裤子第8级强化属性,,0,0,0,0,3274,0,0,0,0,0,0,0,0,0,0,0
21608009,力士80级裤子第9级强化属性,,0,0,0,0,3683,0,0,0,0,0,0,0,0,0,0,0
21608010,力士80级裤子第10级强化属性,,0,0,0,0,4092,0,0,0,0,0,0,0,0,0,0,0
21608011,力士80级裤子第11级强化属性,,0,0,0,0,4501,0,0,0,0,0,0,0,0,0,0,0
21608012,力士80级裤子第12级强化属性,,0,0,0,0,4911,0,0,0,0,0,0,0,0,0,0,0
21609001,力士90级裤子第1级强化属性,,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0
21609002,力士90级裤子第2级强化属性,,0,0,0,0,949,0,0,0,0,0,0,0,0,0,0,0
21609003,力士90级裤子第3级强化属性,,0,0,0,0,1424,0,0,0,0,0,0,0,0,0,0,0
21609004,力士90级裤子第4级强化属性,,0,0,0,0,1899,0,0,0,0,0,0,0,0,0,0,0
21609005,力士90级裤子第5级强化属性,,0,0,0,0,2374,0,0,0,0,0,0,0,0,0,0,0
21609006,力士90级裤子第6级强化属性,,0,0,0,0,2849,0,0,0,0,0,0,0,0,0,0,0
21609007,力士90级裤子第7级强化属性,,0,0,0,0,3323,0,0,0,0,0,0,0,0,0,0,0
21609008,力士90级裤子第8级强化属性,,0,0,0,0,3798,0,0,0,0,0,0,0,0,0,0,0
21609009,力士90级裤子第9级强化属性,,0,0,0,0,4273,0,0,0,0,0,0,0,0,0,0,0
21609010,力士90级裤子第10级强化属性,,0,0,0,0,4748,0,0,0,0,0,0,0,0,0,0,0
21609011,力士90级裤子第11级强化属性,,0,0,0,0,5223,0,0,0,0,0,0,0,0,0,0,0
21609012,力士90级裤子第12级强化属性,,0,0,0,0,5698,0,0,0,0,0,0,0,0,0,0,0
21609013,力士90级裤子第13级强化属性,,0,0,0,0,6173,0,0,0,0,0,0,0,0,0,0,0
21610001,力士100级裤子第1级强化属性,,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0
21610002,力士100级裤子第2级强化属性,,0,0,0,0,1082,0,0,0,0,0,0,0,0,0,0,0
21610003,力士100级裤子第3级强化属性,,0,0,0,0,1623,0,0,0,0,0,0,0,0,0,0,0
21610004,力士100级裤子第4级强化属性,,0,0,0,0,2164,0,0,0,0,0,0,0,0,0,0,0
21610005,力士100级裤子第5级强化属性,,0,0,0,0,2706,0,0,0,0,0,0,0,0,0,0,0
21610006,力士100级裤子第6级强化属性,,0,0,0,0,3247,0,0,0,0,0,0,0,0,0,0,0
21610007,力士100级裤子第7级强化属性,,0,0,0,0,3788,0,0,0,0,0,0,0,0,0,0,0
21610008,力士100级裤子第8级强化属性,,0,0,0,0,4329,0,0,0,0,0,0,0,0,0,0,0
21610009,力士100级裤子第9级强化属性,,0,0,0,0,4870,0,0,0,0,0,0,0,0,0,0,0
21610010,力士100级裤子第10级强化属性,,0,0,0,0,5412,0,0,0,0,0,0,0,0,0,0,0
21610011,力士100级裤子第11级强化属性,,0,0,0,0,5953,0,0,0,0,0,0,0,0,0,0,0
21610012,力士100级裤子第12级强化属性,,0,0,0,0,6494,0,0,0,0,0,0,0,0,0,0,0
21610013,力士100级裤子第13级强化属性,,0,0,0,0,7035,0,0,0,0,0,0,0,0,0,0,0
21610014,力士100级裤子第14级强化属性,,0,0,0,0,7577,0,0,0,0,0,0,0,0,0,0,0
21701001,力士10级项链第1级强化属性,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
21701002,力士10级项链第2级强化属性,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
21701003,力士10级项链第3级强化属性,,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
21701004,力士10级项链第4级强化属性,,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
21701005,力士10级项链第5级强化属性,,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0
21702001,力士20级项链第1级强化属性,,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
21702002,力士20级项链第2级强化属性,,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0
21702003,力士20级项链第3级强化属性,,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0
21702004,力士20级项链第4级强化属性,,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0
21702005,力士20级项链第5级强化属性,,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0
21702006,力士20级项链第6级强化属性,,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0
21703001,力士30级项链第1级强化属性,,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0
21703002,力士30级项链第2级强化属性,,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0
21703003,力士30级项链第3级强化属性,,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0
21703004,力士30级项链第4级强化属性,,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0
21703005,力士30级项链第5级强化属性,,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0
21703006,力士30级项链第6级强化属性,,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0
21703007,力士30级项链第7级强化属性,,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0
21704001,力士40级项链第1级强化属性,,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0
21704002,力士40级项链第2级强化属性,,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0
21704003,力士40级项链第3级强化属性,,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
21704004,力士40级项链第4级强化属性,,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0
21704005,力士40级项链第5级强化属性,,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0
21704006,力士40级项链第6级强化属性,,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0
21704007,力士40级项链第7级强化属性,,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0
21704008,力士40级项链第8级强化属性,,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0
21705001,力士50级项链第1级强化属性,,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0
21705002,力士50级项链第2级强化属性,,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0
21705003,力士50级项链第3级强化属性,,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0
21705004,力士50级项链第4级强化属性,,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0
21705005,力士50级项链第5级强化属性,,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0
21705006,力士50级项链第6级强化属性,,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0
21705007,力士50级项链第7级强化属性,,0,0,0,0,1034,0,0,0,0,0,0,0,0,0,0,0
21705008,力士50级项链第8级强化属性,,0,0,0,0,1182,0,0,0,0,0,0,0,0,0,0,0
21705009,力士50级项链第9级强化属性,,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0
21706001,力士60级项链第1级强化属性,,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0
21706002,力士60级项链第2级强化属性,,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0
21706003,力士60级项链第3级强化属性,,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0
21706004,力士60级项链第4级强化属性,,0,0,0,0,753,0,0,0,0,0,0,0,0,0,0,0
21706005,力士60级项链第5级强化属性,,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0
21706006,力士60级项链第6级强化属性,,0,0,0,0,1129,0,0,0,0,0,0,0,0,0,0,0
21706007,力士60级项链第7级强化属性,,0,0,0,0,1318,0,0,0,0,0,0,0,0,0,0,0
21706008,力士60级项链第8级强化属性,,0,0,0,0,1506,0,0,0,0,0,0,0,0,0,0,0
21706009,力士60级项链第9级强化属性,,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0
21706010,力士60级项链第10级强化属性,,0,0,0,0,1883,0,0,0,0,0,0,0,0,0,0,0
21707001,力士70级项链第1级强化属性,,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0
21707002,力士70级项链第2级强化属性,,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0
21707003,力士70级项链第3级强化属性,,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0
21707004,力士70级项链第4级强化属性,,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0
21707005,力士70级项链第5级强化属性,,0,0,0,0,1150,0,0,0,0,0,0,0,0,0,0,0
21707006,力士70级项链第6级强化属性,,0,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0
21707007,力士70级项链第7级强化属性,,0,0,0,0,1610,0,0,0,0,0,0,0,0,0,0,0
21707008,力士70级项链第8级强化属性,,0,0,0,0,1840,0,0,0,0,0,0,0,0,0,0,0
21707009,力士70级项链第9级强化属性,,0,0,0,0,2070,0,0,0,0,0,0,0,0,0,0,0
21707010,力士70级项链第10级强化属性,,0,0,0,0,2300,0,0,0,0,0,0,0,0,0,0,0
21707011,力士70级项链第11级强化属性,,0,0,0,0,2531,0,0,0,0,0,0,0,0,0,0,0
21708001,力士80级项链第1级强化属性,,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0
